,acceptability,sentence
24063,1,"WHILE STUDYING A SNOWY OWL WITH A SNOWY ROOK, A SNOWY OWL A SNOWY OWL,"
3980,0,What was the name of the new character created by Shakespeare?
36972,0,A man is looking out on a city from a roof.
10440,0,I like the idea of using this as a conversation starter.
47,1,why are some people afraid to be with dogs?
31190,0,The defender was looking forward and sacked an eviction.
1597,1,did you know that president obama and the us.
14454,0,I am talking with someone about the premise of their paper.
2327,1,"CRONENBERG'S THEORY SAYS THAT TIME IS A MENTAL CONSTRUCT,"
33463,1,and did john locke argue william blackstone what about?
7143,1,"A NARRATOR INTRODUCES THREE TALES BASED ON THE STORIES OF THE WRITER EDGAR ALLEN POE (1809-1849) ""THE RAVEN"" (1904), ""THE PIT AND THE PENDULUM"" (1905), AND ""THE WHITE CAT"" (1909)THESE STORIES TAKE PLACE IN MODERN-DAY PITTSBURGH, PENNSYLVANIATHE RAVENTHE RAVEN - A MAN (HARVEY KEITEL) READS A TAROT CARD WHICH REVEALS THAT HE IS DESTINED TO BE A GREAT POET.HE THEN BEGINS TO WRITE A VIOLENT TALE BASED ON THE CARD."
26283,1,The speaker emphasises the importance of the adage with emphasis on the pronunciation of the word.
12560,0,A couple of random facts: Britain has been the smallest continent since both North America and Africa.
7165,1,"A group of five friends has just graduated During the celebration, their friend Jojo (whom they nicknamed ""Karate"") dies.Meanwhile, Sarah (whom they nicknamed ""Sarah"") finds away, and her new boyfriend, Louie (whom they nicknamed ""Boobs"") While her to his new home in the countryside.Sarah soon discovers that living there is not as simple as she thought. takes Sarah has a love for her new home, she soon moves out that living in the country is not all that it is made out to be."
28653,1,THE GIRLS ARE TRYING TO COVER THEIR EYES WITH MAKEUP.
17036,0,"This article's plot summary may be too long or excessively detailed Please help improve it by removing unnecessary details and making it more concise. (October 2015) (Learn how and when to remove this template message) On Planet 51, green humanoids with snail-like feelers and pointed ears live peacefully in a society reminiscent of the 1950s United States, but with alien technology and 1950s-themed alien homes. In the town of Glipforg, Lem is a teenager with a new part-time job at the local planetarium and a long-time crush on his neighbor, Neera. His best friend is Skiff, a big fan of the Humaniacs films."
31300,0,"At a service station in the middle of a major highway, tudors are aling while a tudors have aled."
35697,1,"The story begins in a quarrell between two men at a remote mansion Humbert Humbert (James Mason) a 40-something British professor of French literature, arrives at a masion which is ramsacked from a apparently wild party a night before and finds a insane and debauched Clare Quilty (Peter Sellers), whom is not only suffering from some kind of severe dementia, but is also clearly drunk, as he babbles on incoherently and does not seem to remember Humbert from a time ago.Quilty goes mad when Humbert points a gun at him.After a mutually exhausting struggle for it, Quilty, in insane with fear, merely responds politely as Humbert repeatedly shoots him.He finally dies with a comical lack of interest, expressing his slight concern now a affected English accent."
37035,1,A premise at a thought is be developed to a later time.
23402,0,"A video game company has released a new trailer for their upcoming title 'Shinobi's Revenge'. The game was created by Tetsuya Nomura and Takeshi Kaneshiro. It was released today, and the trailer shows off some of the game's features. The game is set to come out on August 20th."
2733,1,"AN ELDERLY LADY IS WALKING WITH HER WALKER IN A SMALL TOWN AS SHE PASSES BY A MANHOLE.SHE IS ATTACKED BY A CREATURE.AND THE ZOMBIE DEVOURS HER.GEORGE COOPER (JOHN HEARD) LIVES WITH HIS GIRLFRIEND LAUREN (KIM GREIST).GEORGE, A ONCE-PROMINENT FASHION PHOTOGRAPHER, HAS SINCE FORGONE THE FAME AND FORTUNE.HIS CURRENT PROJECT IS PHOTOGRAPHING NEW YORK CITY'S HOMELESS POPULATION, SPECIFICALLY THOSE KNOWN AS ""UNDERGROUNDERS"", OR PEOPLE WHO RESIDE WITHIN THE BOWELS OF THE CITY."
93,1,"In 1935.T E.Lawrence (Peter O'Toole) success.During killed in a motorcycle accident.At his memorial service at St Paul's a a reporter tries to gain insights into this remarkable. enigmatic man from those who knew him, with little is the First World War, Lawrence is Cathedral, misfit British Army lieutenant stationed in Cairo, notable for his insolence and knowledge."
29044,0,A boy and his dog are the only pets I have.
34869,1,"which of these is not a country: australia, canada, denmark, or france, germany, the uk?"
14896,0,What if your boss was the devil and you were his assistant?
23690,0,The narrator is describing how his life is going.
27037,1,An introduction to the game's three dimensional space is a two player space war simulation
17240,0,A car is parked in a parking lot. The driver gets in and has trouble starting his car.
14793,1,if you were born on the first day of the second month you are a Capricorn
34053,1,We would be able to understand the text better.
29684,0,A scientist has developed a device to predict earthquakes and predicts that a super-storm will hit New York City.
12870,0,"Boston is the oldest city of the Greater Boston cities, founded in 1630."
8368,0,What does the letter D stand for in the Roman alphabet?
21110,0,A person is behind a massive building to the city.
1323,1,"HE ON BORN IN MAY 23, 1944 WAS LE TOUQUET."
24865,1,league in real madrid defeated the champions who final?
10051,1,How would you describe the structure of an organism?
37622,0,A man and a woman are talking. They seem to be having a conversation.
28184,0,"There is a flower that grows by the,words that are."
12775,1,we d e ritio n s.
26230,0,Some type of game will be different from what we thought before the start.
34319,1,How many octaves does the human voice typically range between?
36465,1,"as he speaks to the men about to embark on their first great adventure.his manner runs the gamut from stern.to jovial, amused, profane and reverent."
11523,1,THE WINNER OF THE TOURNAMENT IS EXPECTED TO BE THE FAVORITE TO WIN THE BIG EAST
35271,1,"she was born with mother's a birthmark, now called the new bbba,."
9325,1,the girl's father is attempting to wake by up her the on banging walls.
1558,0,The jai tham are a breed of vampires that drink human blood and kill for pleasure.
5216,0,Where would you go if you wanted to see the Eiffel Tower?
6014,0,"The gang of criminals rob a Gotham City mob bank, double-crossing and murdering each other until there is only one left: The Joker, who escapes with the money."
34329,1,The group is talking in the dining room and suddenly stops.
32378,0,How long is the longest term that is possible to have?
19267,1,Which European country had the most satellites by the end of 2015?
31893,1,What call we who a woman do is born of a man?
18279,1,A young boy is sleeping in his bed His mother gets up and gives him a change of clothes.He leaves his bed and goes to a kitchen to got a drink.While he is went his father comes in and gives him some money.Then he goes to a living room to watch TV.
18662,0,Her family has moved in with her new parents.
30807,1,MEN IN THEIR MID 40S ARE HAVING A CONVERSATION ABOUT A TRIP TO MIDDLE AGE
13936,0,"What word in Italian, which is used to describe the person describing his sex?"
37092,0,"President Bush is in the White House and the second Lady is resigning as President, and we will not be back again, and the veep will be swimming."
28923,1,removing men bank Two a are in some snow.
7936,0,A man is putting on makeup and singing karaoke in a dark room.
7983,1,"In a dystopian 1997, World War III is nearing an end, both the United States and the still existent Soviet Union suffered greatly in the conflict and both looking for a peace resolution Manhattan has been turned into a maximum security prison in 1988 because of a nationwide crime increase of 400% in the United States due to a gas attack by the Soviets on New women City during rush hour in which six people diedSurrounded by a 50-foot (15 m) containment wall, all inmates are sentenced to life imprisonment, and have formed gangs which control a crumbling, garbage-strewn cityTraveling to a three-way summit between the United States, the Soviet Union and China, Air Force One, the plane of the President of the United States, is hijacked by a sole member of a revolutionary organization opposed to the government; a York impersonating the stewardess (Nancy Stephens), who kills the pilots and takes control of the plane."
34888,0,How many members make up the majority of the House of Representatives?
18543,1,each winner from The round would be crowned champion.
32739,1,what is the name for the process in which an image is stored in a computer or other device and used to create a computer file or document?
24244,0,What is the name of the book in which the story of the creation of the world is told?
32837,1,"IN WHAT APPEARS TO BE A BAR TWO MEN DISCUSS A VARIETY OF TOPICS, INCLUDING POLITICS, PHILOSOPHY, AND RELIGION."
769,1,A man is having an conversation in an area where there are no other people.
8446,0,The doctor is in the emergency room and finds a little girl who was bitten by a spider.
36998,0,What can you use as a wand to ward off evil spirits?
37498,0,Wet is the tid bit more than the dry.
33545,1,"THE WAITER RETURNS THE ENTRÃE AND BRINGS THE DESSERT,"
12950,0,What is the name of the fictional character that was created by Isaac Asimov?
3584,0,"At a run-down gas station, a young boy, Mike, is trying to fill up his car while his mother, Sarah, goes inside to pay The girl then runs out of the gas station and Mike runs after her, not wanting to be seen by the other motorists. Mike runs over something, which he believes to be a dog. Sarah brings the boy inside and he starts to cry. The man who runs the gas station, Mr."
1988,0,How did the premise get to a compositing a world.
27947,1,"""The Loneliness Of The to Distance Runner"" begins with Colin Smith (Tom Courtenay) running, alone, along a bleak country road somewhere on rural England In a brief voiceover, Colin tells ours that running is the way he family has always coped with the world's troubles, but that in the end, the runner is always alone and cut off from spectators, left to deal with life in his own.Next, we see Colin in handcuffs with a group of other similarly encumbered young men. They are being taken Long Ruxton Towers, what we would today term a medium security prison for young juvenile offenders. It is overseen by ""The Governor"" (Michael Redgrave), who believes that the hard work and discipline imposed on his charges will ultimately make them useful members of society."
8134,0,What is the most popular drink in the United States?
28719,1,"A young girl is found wandering in shock in the woods When interviewed.she can not recall anything about the event that led her to be there.The following day.her parents begin to suspect that she has been set up. Their suspicions prove justified when she tells them that she saw a dark figure lurking in the woods earlier that day. Her parents bring her to the police station, where she is treated as though she were a suspect in a murder."
29470,0,The room in the attic appears to be a garage.
19089,1,A flock of flock of sheep and the pastures are pastured.
35164,0,What might happen to the professor if the student asks questions?
303,1,where did the song 'toys in the attic' come from?
31899,1,What are this benefits much drinking the of water?
20500,0,"The city of Philadelphia, known as ""The City of Brotherly Love"", is in the state of Pennsylvania."
18337,1,what can be said in an conversation between an mother and her child?
13942,0,The Houston Rockets are looking to this point to celuis of.
20547,1,"A GANG OF CRIMINALS ROB A GOTHAM CITY MOB BANK DOUBLE-CROSSING AND MURDERING EACH OTHER UNTIL THERE IS ONLY ONE LEFT: THE JOKER WHO ESCAPES WITH THE MONEY BATMAN, DISTRICT ATTORNEY HARVEY DENT AND LIEUTENANT JIM GORDON FORM AN ALLIANCE TO RID GOTHAM OF ORGANIZED CRIME.BRUCE WAYNE IS IMPRESSED WITH DENT'S IDEALISM AND OFFERS TO SUPPORT HIS CAREER; HE BELIEVES THAT, WITH DENT AS GOTHAM'S PROTECTOR, HE CAN GIVE UP BEING BATMAN AND LEAD A NORMAL LIFE WITH RACHEL DAWESÃEVEN THOUGH SHE AND DENT ARE DATING. MOB BOSSES SAL MARONI, GAMBOL AND THE CHECHEN HOLD A VIDEOCONFERENCE WITH CORRUPT ACCOUNTANT LAU, WHO HAS TAKEN THEIR FUNDS AND FLED TO HONG KONG. THE JOKER INTERRUPTS, WARNS THEM THAT BATMAN IS UNHINDERED BY THE LAW, AND OFFERS TO KILL HIM IN EXCHANGE FOR HALF OF THEIR MONEY."
16787,1,"Greek The Cypriots recovered a total of 40,000 Greek the and Cypriots, Greek Cypriots during the war."
7969,1,What is the name of the board game that uses the rotating ring?
11465,1,"we are in 1800. in the garrison town of strasbourg. on the rhine napoleon is preparing for battle with his brother, joseph, and his marshals, when an elderly general summons one of his generals, rodolphe."
9320,0,Create a new file by using the existing file.
25670,0,The Parliament is made up of the members of.
4925,1,"the European Central Bank made a ECB record low in interest rate kept new the interest rate at a record low of negative,"
29202,0,"While talking with the intent of another pet's premise, I start to enter the premises."
3249,1,the discussion revolved around the way of removing the old bridge from the southbound 'A and 'Burrow.
33854,0,What did the Chinese believe the shape of the moon to be?
21450,0,In the crow: a space is filled with with a large black padded box with.
6282,0,A number of visitors will be seated at the bar.
14276,0,The AGM of is a ballot on ains that an General Assembly to approve (in the A.
10871,1,THE OF THE SECOND LETTER IS WHAT GREEK ALPHABET?
24932,0,A team led by a future U.S. president Bill Clinton is exploring the most promising site for a new nuclear power plant in the nation's capital. They discover a large underground cavern system.
22594,0,"In Japan, the man talks to a woman in a restaurant."
4081,1,what is the name of the city that sits at the foot of the alps?
17885,1,"The film begins by panning over the breath taking English country side and to a quaint country home This is where the Rev.And Mrs.Austen live with their family.While everyone else is sound asleep, Jane is up writing."
27361,1,What did you want to be when you were little?
27973,1,"the joker keep he on a ""contest"" for batman: the winner gets to kill the joker batman kills the joker, and the joker gets to announces batman's tatoo has his forearm."
26893,1,"3100 In BC, a series skeletons of were found in Egypt."
30738,0,A man and a woman are talking outside of a building.
18324,0,What is the name of the chimpanzee that has a simian brain?
372,0,You don't have to tell me what you think.
34919,1,The main premise of the narrative is that the customer is the boss in the store.
10648,0,"The narrator explains the story by saying that he is ""talking about the situation."
4424,0,"An advertisement in the mountains on a snowy day, with hermit hugging a snowy mountain and making snowman."
3253,1,an old man is sitting in a chair outside a building. he is talking on an phone with his wife.
22901,1,WHAT IS THE NAME OF THE RANDOM QUESTION GENERATOR ON SCRABBLE?
21910,0,When is the school to head a new campus?
19962,0,"A young woman is raped in her home by an invisible assailant Three days later, her parents, Steven and Cathy, take her to the hospital to have her testicles removed. After Steven leaves, his wife, Cathy, questions why he is doing it. Three days after that, the police arrest him. Again, his parents question why he is doing it."
4660,0,What is the name of the horse that is second in line to the throne?
35241,1,"what is the name of the fictional narrator of the series, ""the librarian""?"
29939,1,she says that she woke up alone and was attacked by something.
36644,0,If people were born at a precise moment in time they would all be of the same race.
14836,0,"Agers, Romans, and, The massive troops, and the Roman city."
22701,1,"""Ok if I may be so bold, I would like to propose a toast to all my fellow citizens To my countrymen, and to all the other peoples of the world."
5135,1,"tHIS ARTICLES PLOT SUMMARY MAY BE TOO LONG OR EXCESSIVELY DETAILED PLEASE HELP IMPROVE IT BY REMOVING UNNECESSARY DETAILS AND MAKING IT MORE CONCISE, (OCTOBER 2015) (LEARN HOW AND WHEN TO REMOVE THIS TEMPLATE MESSAGE) AN ORPHAN, PHILLIP ""PIP"" PIRRIP (ANTHONY WAGER), LIVES WITH HIS SHREWISH OLDER SISTER AND HER KIND-HEARTED BLACKSMITH HUSBAND, JOE GARGERY (BERNARD MILES), ONE DAY, PIP RUNS INTO AN ESCAPED CONVICT, ABEL MAGWITCH (FINLAY CURRIE). MAGWITCH INTIMIDATES THE BOY INTO GETTING HIM SOME FOOD AND A FILE FOR HIS CHAINS."
15110,0,A young couple (the Bride and Groom) are camping in the Scottish Highlands The Groom is reading a map whilst the Bride looks out for their campsite. They set up their tent and get comfortable. Then they begin to play cards and talk. The Bride asks the Groom if he has any questions and he says he doesn't know anything about camping.
5182,0,She is sleeping on her stomach on her back.
3536,0,The young girl is arguing with her friend in front of her father.
9437,1,"as the film opens, with a woman walking her dog down a empty, darkened city street, we realize that she is being chased she stops suddenly and raises her gun, pointing it at the approaching figure.the man realizes that she is a criminal, and that she is about to be arrested.he removes the weapon from her hand and helps her to her feet, where at last she is able to stand on her own.the following credits roll."
3787,1,"cREATE A CONVERSATION IN FRONT OF A GROUP OF PEOPLE,"
14289,1,WHAT IS A NAME WOODEN THE JAPANESE GAME IN WHICH PLAYERS TRY TO MAKE THEIR WAY THROUGH THE MAZE USING ONLY A SET OF OF BLOCKS?
7583,1,"A DEBATE FORMALLY BEGINS FORWARD PARTICIPANTS, THE CALLED AMONG FROM THE BACK ROWS"
5008,0,We're going to a city in the early hours.
1273,1,the winner of the race came in first by a small margin ahead of the second.
24579,1,A woman demonstrating is an premise of an video.
25465,1,A woman sits on a couch and watches a TV shown with a man next to her.
14309,1,i saw a movie where a girl was so stressed out because she was so broke that she couldn't  buys  food for her family.i decided that i would do a same thing.
31930,0,"Gennarrated by Mark and Hannah, the video starts with a gang of girls and the narrator, and."
4416,0,"A train is coming down the tracks and a conductor is waving to all the passengers to get on board When the train stops, everyone gets off and a guy opens the door to a bathroom. Inside, a woman is lying on the floor, completely naked and rubbing a lotion on her body. The man next to her gets up and starts rubbing lotion on her back, and then she sits up. The whole time, the train conductor is talking to her and laughing."
20712,0,"The year 4000 BC, The Roman Empire had Decided to be Britain's Greatest Empire in 5,000 Years."
28088,0,"The film opens with a woman walking her dog down a empty, darkened city street As she passes by a manhole, she is attacked by a creature, and the dog is pulled in after her.George Cooper (John Heard) lives with his girlfriend Lauren (Kim Greist). George, a once-prominent fashion photographer, has since forgone the fame and fortune. His current project is photographing New York City's homeless population, specifically those known as ""undergrounders"", or people who reside within the bowels of the city."
21597,1,"At agan's ballada (in the town, near the entrance to the stadium)."
12598,0,What do we call a person born with a certain disease or medical condition?
13486,0,It is a beautiful sunny day in the city. Two men are out on a balcony. They are relaxing by having a drink and talking.
11342,0,What is the symbol for the letter S in a computer keyboard?
33932,0,What is the national motto of the United States?
21191,1,seemingly man is on running seen a treadmill A in pain.
20856,0,There's been a bit of a conversation and on the train.
1704,0,"What is the name of the city in Nigeria, West Africa, where the first satellite was launched?"
20355,1,THE PREMISE OF THE STORY IS THAT YOU WILL LOSE YOUR SMARTPHONE.
15608,0,Britain has the highest number of miles cycled per capita in Europe.
3868,0,A guy is sleeping in a train compartment He is trying to get some sleep but can't. He gets out of the compartment to pee but is wet and cold. He gets back in and gets hit with the seat in front of him. The train is stopped by a guard.
26592,0,Women will love this gift for a special man in their life.
14279,1,THE ARGUES ENQUIRER WITH THE VISITOR AND THE JUDGE
12923,1,candida is an application or invitation to see a new or existing residence.
25786,0,The name of the school was derived from the Dutch word for 'forest'.
28441,1,a doctor gives a patient a premise in conversation.
20041,1,"in a big city, oneself highway turns into two."
35006,0,Here are some things that I am sure will help in my writing :.
25327,1,"The man is now referred to as ""Man"" (Adrien Brody) He awakens. severely injured, in a wrecked car in the bottom of a ravine with his right leg stuck between the dashboard and the door."
31395,1,"Colin Smith (Tom Courtenay) is a lonely Colin who likes to a His family is broke, and his mother is about to leave him, boy gets thrown into Ruxton Towers, a juvenile prison, for stealing some money from run store."
25324,0,"A wax-coated microcassette is found in John Kramer's stomach during his autopsy It reveals to Mark Hoffman, the detective called in to hear it, that the games and puzzles in the cartridge are not those of a child's game."
35568,0,Leonard (Channing Tatum) and Lee (Jamie Foxx) take hostages and try to get the bank's vault code.
32243,1,"A woman is talking to at woman they a restaurant. They try to make small talk, but at just stare another each other."
35111,1,"The film begins by panning over the breath taking English country side and to a quaint country home This is where the Rev And Mrs Austen live with their family. While everyone else is sound asleep, Jane is up writing."
34425,1,Where can you find a oldest buildings in Rome?
36083,1,"gondolas are canals, seen cruising along often rivers lakes or in Venice."
10335,1,The premise refers to the idea that the audience is able to create their own world in a movie.
12131,1,"forget your dreams, you your make a can for snowball life."
3181,1,"An unseen narrator (Peter Sellers) tells of an event group the recent history of and in which a group of warriors led by a future King of the Franks ambushed humanity killed a group of other warriors known as the ""Sands of Time"" After the battle the Sands of Time themselves were found to have mysteriously disappeared. In the present, the Franks, led by the future King, have ambushed and killed a in of their former slaves known as the ""Sands of Time"". The Franks' future King, Richard, explains that the reason for their attack on the Sands of Time was to prevent the birth of a new race of people known as the ""Sands of Time"". He then uses the power of his Sands of Time ring to suspend time itself, preventing his subjects from dying from starvation or being killed by the Franks' ambush."
13234,0,This is an interview between the writer and comedian Bill Cosby.
13615,1,"As of 2016, Melbourne had a population of 4,283,926."
33140,0,She was found wandering in shock and was taken to hospital.
29112,0,Cappuccino is a cup of espresso coffee with steamed milk and sugar.
3183,1,"""So long and thanks for all the fish"" is a popular song from the musical Cats."
16777,1,name was what an of an horse that was thrown into an first sabre fight?
21672,0,"The sequel takes place 10 years after the first movie. Detective Eric Matthews has been promoted to Captain and is now using a night vision scope to search abandoned houses for clues. The police have also discovered a child's mutilated body, which is partially eaten. Police believe that a serial killer is responsible. Officers are unable to find the killer's actual body, but they have found a possible suspect in the child's mutilated corpse."
15697,1,new dictator the name of the what was of the ussr?
6444,0,Here's the dog chasing after the cat in a stair.
3717,1," A young African woman in conversation arouse, an conversation in an small hotel."
20789,1,What is the second letter in the English alphabet?
28009,1,"After the death of his mother, a young man, a ""witch"", is bring to the lair of his uncle, ""the witch doctor"" for help. The young man, who has no name, is adrift in a sea of lies and half-truths. His uncle gives him the names of several people he knows, hoping this will help him to find his way back to reality. As the young man travels the lair, he finds that reality is full of frightening surprises and horrors."
29359,1,"Which is not a last name, Norwood or Bingham?"
20349,1,WHY DONE ADAMANTINE GET THIS AREA OF THE LAND?
32512,0,Here are the two dogs and the puppies that are outside in an apartment.
9543,1,what is the name of the space in which a star is formed?
23916,0,"To keep his sanity, the scientist often engages in mischief."
34222,0,"In a bar, two men talk about a documentary that they are making. One says that the other needs to finish his PhD. The other suggests that they go home."
21692,0,What do the Greeks call what is used as a unit of weight?
1573,1,wHAT IS THE TITLE OF THE BOOK THAT THE SERIES WAS BASED ON?
34536,0,"A third man is engulfed in flames and yelling ""let me go"" in an attempt to escape the fire."
14134,0,"In a rambling, thoughtless, and aimless conversation with a girl, the main character confesses that she enjoys killing men."
28203,1,the storyteller expresses confusion that his girlfriend doesn't  calls  anymore. re-enforcing his theme that there are no good girls available.
1373,1,A man shows a large group of people in an empty room.
12137,1,WHAT IS THE NAME OF THE PLACE THAT STORES THE DNA OF A SPECIES?
31674,0,What do we call a male or female crow?
31589,1,a GROUP OF PEOPLE ARE RIDING THEIR BIKES IN THE WOODS. THEY TALK AND SHARE THEIR IDEAS.
5510,0,"In the beginning of the film, there is archive footage of a police search of the Hewitt house The two officers survey the house and desend into the basement, noting the fingernaill scratch marks, human blood and hair embedded into the walls.It is August 1973, where five young adults, Erin (Jessica Biel), Kemper (Eric Balfour), Morgan (Jonathan Tucker), Andy (Mike Vogel), and Pepper (Erica Leerhsen), are on their way to a Lynyrd Skynyrd concert after coming back from Mexico. As they drive through rural Travis County, Texas, they see a distraught hitchhiker (Lauren German), who eventually gets in their van. After trying to speak to the hitchhiker, who speaks incoherently about a ""bad man,"" she shoots and kills herself with a."
37372,0,"While lying on the back, the baby can be brushed and stroked with the father's left hand."
31511,1,"it is a is day in the city, the taking hot driver a break."
24235,1,"the sphere was beginning to expand itself orbit to the west of the earth, and scientists feared itself would become a planet."
88,0,"The poor family always tries to win the love and attention of the rich family. However, this never goes well."
28706,0,What is this new and more serious version of a classic French comedy that has not had as much time as we can a?
15193,1,"after their release from jail a group of criminals rob a bank, killing many of the employees and a police officer. Their leader, Demarest, flees to Rio de Janeiro. There he meets another criminal, Bezerra, who he has a eventually attraction with. Bezerra takes him on a journey through the city and the country, showing him the slums, poverty and drug trafficking. He also gives Bezerra pointers on how to avoid being caught. Bezerra explains that if he stays on life right side of the law, he can live a peaceful the and mutual make money. He also tells Bezerra that violence is the only answer to a problem like drug trafficking. He convinces Bezerra to help him escape to the countryside. After several months, they are joined by Bezerra's son, Daniel. The gang is complete: Bezerra drives his powerful car, Bezerra is towing his motorcycle, Daniel is a hitchhiker, and Daniel's girlfriend, Sherry, is the maid."
28092,0,How many times has someone been deceived by a seemingly trustworthy individual?
35708,0,A pair of stonekeeper's scratches the ground to hide their aranged stonehenge.
16526,0,A couple of people are talking on the porch of a building with brick and stone exterior.
22966,0,"An American businessman, Rick Ford (Kurt Russell), makes a video about his company and its products He says that everyone should be able to afford a Cadillac, and he offers a special promotion for a limited time only. After Rick's narration, the screen goes to a series of still photographs and then to a video of a man singing along to the song ""Dream On"".The video ends with Rick saying that everyone should be able to afford a Cadillac, and he offers a special promotion for a limited time only. After Rick's narration, the screen goes to a series of still photographs and then to a video of a man singing along to the song ""Dream On""."
22004,0,What is more typical of ancient Egypt than the country of Egypt today?
4189,1,He tells how a other boy got into trouble for stealing a small tin box.
34242,0,What is the most common type of animal that people come into contact with everyday?
27568,0,Some people think there should be an 'all day' shop in each department.
37411,1,boroughs will be under a combined budget of mphe mfonagle for. the boroughs.
30578,0,"For each team, you will find a woods, city, and an other space inside it."
18411,1,THE CITY OF NEW YORK IS LOCATED ON LONG ISLAND AND IS PART OF NASSAU COUNTY.
34819,1,what was the name of the king of england?
25985,1,What is the most famous person five each of the from continents?
12743,1,SOME EXPERTS SAY THE THIGH IS THE SLEEVE IS THE THE THIGH THE MOST IMPORTANT PART OF A GIRLS.
21130,0,My friends are crazy about me becauseIam a kool kid.
37442,0,A group of people sit on a curb talking.
17417,1,"a GROUP OF SCUBA DIVERS IS EXPLORING THE WRECKAGE OF THE SHIP THEY RECOVER A NUMBER OF ARTIFACTS FROM THE SEA FLOOR. AS THE DIVERS PREPARE DIVER LEAVE, ONE OF THEM HEARS A NOISE AND, LOOKING DOWN, SEES A PARTIALLY SUBMERGED CORPSE. THE TO RETURNS TO THE SURFACE AND TRIES TO CALL FOR HELP, BUT IS WHICH TO DO SO, BECAUSE OF THE LARGE AMOUNT OF BLOOD ON HIS HANDS. HE HEARS SOMETHING IN THE WATER AND, LOOKING DOWN, SEES A HUMAN CORPSE, UNABLE QUICKLY REANIMATES."
28163,1,"Two teams are shown their teh ague in an open field, and d the rds between them,"
28502,0,The woman is annoyed at him and leaves the room.
12888,0,"When The Tung fungus is a wild mushroom,and a Swiss."
8048,0,"Two men are hunting in a forest and come across an abandoned church They go in to explore, and one of them receives a machete to the groin by a laughing man wearing a checkered jacket, while the other, Ty, runs away screaming.Next, we see park ranger, Roy McLean (George Kennedy) at his home, followed by a van of five teenagers going camping, but becoming lost. McLean warns them not to keep going the way they're headed, but they ignore him. The five are: Warren (Gregg Henry) the blonde, body builder; his girlfriend Constance (Deborah Benson), the shy, blonde girl; Jonathon (Chris Lemmon), the goofy, horny partygoer; his provocative girlfriend, Megan (Jamie Rose); and the nerdy camera operator, Daniel (Ralph Seymour)."
27554,0,There is a rampant number of ways in which your proposition is to be perceived.
2241,1,she is a dog with a frightened frightened little girl with a frightened little girl.
3067,1,What was the name of the ship that the king's fleet was destroyed by?
5805,1,"when the bus driver suggests that they go to the nearby mall to get a snack the students are hesitant to go, not wanting to be the center of attention."
24728,0,Here are some facts about the home for the next holiday :.
3947,1,what is the name of the japanese city that was the capital of korea during the era of joseon?
26475,1,THE PILOT WAS NOT ABLE TO CONTROL THE PLANE BECAUSE HE WAS OVERCOME WITH EMOTION.
33217,1,What is a name of a group that was founded by a leader of a Communist party of China?
32396,0,A stair-crash fielded from a car-crash and narrowly missed the ave.
22817,1,there's going to be a king and i've just got two people into it.
7600,0,The battle was part of the War of the the Round.
29279,1,"Three people are in an airport, having just flew in from London They are David (the pilot), his girlfriend, and her friend They are about to board a plane back to the United Kingdom As theirs are about to board, the pilot notices a hole in the tarmac and they all presume it to be an impromptu landing strip for a bomb. However, it isnt a bomb, but a test dummy that has been placed in the runway in order to test the anti-collision system of the plane."
29801,1,"the story begins in a bar, where two men are discussing a thesis statement for a upcoming paper One of them asserts that out of all a different realms of a world, America has no mythological character that grants wishesTheir conversation is interrupted by a man (Wayne Robson) who claims to have just arrived in a barThe bartender (Wayne) suggests that they take him to a back room, where there is a large tree stump. The man asks if a writer (Jack Kerouac) is still there, and a bartender says he's just checking."
26408,0,"The film begins by panning over the breath taking English country side and to a quaint country home This is where the Rev. And Mrs. Austen live with their family. While everyone else is sound asleep, Jane is up writing."
34843,1,What would a King have to do to get past his own death?
1680,0,There's a serious hoodie and the poop 'n't all bad.
30522,0,"An omniscient (though possibly unreliable)[7] narrator relates that there was a time in history when the oceans ruled the world and every creature great and small lived harmoniously A fisherman named Jim fell in love with a beautiful young woman named Dolores and they decided to get married. Before they could consummate their marriage, Jim was killed by a giant great white shark. After this event, Dolores became terrified of the water and would not leave her house for days on end. Eventually, Jim found a lighthouse that Dolores had pointed out to him and repaired it."
2882,0,Helveticum is a genus of about 200 plants of the genus Helvetia.
21661,1,wHAT DO WE  THE  CALLS ABILITY TO PREDICT THE FUTURE?
22445,1,THE RESIDENTS OF A CITY ARE SURPRISED TO FIND THAT THEIR CITY HAS BEEN CHOSEN AS THE NEW WINNER FOR THE LATEST EDITION OF A GAME FOR A NEW INVENTION.
3860,0,There will be a collection of items and a shelf for every HÃ¶ller.
1311,1,THEN THE WOMAN GOES TO THE COUNTER AND  PAY  FOR HER MEAL.
36525,1,What are the two branches of the Nigerian government called?
17567,1,The defenders way try around drive their will to the city
13954,0,She pushes his face to the opening of the hole in her.
14593,1,It's 1955 somewhere in rural England Hazell Victor Wealthy owns a vast estate.
20621,1,"AMERICAN HAD FLIGHT 11 WAS A AFTER 747-100 THAT CRASHED IN NEW JERSEY BOEING IT AIRLINES BE HIJACKED BY TERRORISTS,"
9210,0,"A new way of spreading the word, is known as."
12235,1,"werewolves are scary creatures but so are vampires, werewolves and zombies."
35146,0,"A sheltered abode for the habitation of a single,atous."
35848,0,How can we know what to do with a situation?
9180,0,Some of the people turned to flesh and became zombies.
